"1",Morty,""
"2","Scruffy Morty","https://vignette.wikia.nocookie.net/rickandmorty/images/1/16/PM-002.png/revision/latest/scale-to-width-down/150?cb=20160914045254"
"3","Unkempt Morty","https://vignette.wikia.nocookie.net/rickandmorty/images/3/37/PM-003.png/revision/latest/scale-to-width-down/150?cb=20160914045342"
"4","Hobo Morty","https://vignette.wikia.nocookie.net/rickandmorty/images/4/4a/PM-004.png/revision/latest/scale-to-width-down/150?cb=20160914045601"
"5","Old Morty","https://vignette.wikia.nocookie.net/rickandmorty/images/a/a3/PM-005.png/revision/latest/scale-to-width-down/150?cb=20160916013344"
"6","Geriatric Morty","https://vignette.wikia.nocookie.net/rickandmorty/images/8/87/PM-006.png/revision/latest/scale-to-width-down/150?cb=20160916013514"
"7","Ancient Morty","https://vignette.wikia.nocookie.net/rickandmorty/images/5/53/PM-007.png/revision/latest/scale-to-width-down/150?cb=20160916013529"
"8","Rabbit Morty","https://vignette.wikia.nocookie.net/rickandmorty/images/d/d4/PM-008.png/revision/latest/scale-to-width-down/150?cb=20160916013858"
"9","Evil Rabbit Morty","https://vignette.wikia.nocookie.net/rickandmorty/images/f/f1/PM-009.png/revision/latest/scale-to-width-down/150?cb=20160916013909"
"10","No Eye Morty","https://vignette.wikia.nocookie.net/rickandmorty/images/c/cb/PM-010.png/revision/latest/scale-to-width-down/150?cb=20160916014336"
"11","One Eye Morty","https://vignette.wikia.nocookie.net/rickandmorty/images/2/2b/PM-011.png/revision/latest/scale-to-width-down/150?cb=20160916014412"
"12","Three Eye Morty","https://vignette.wikia.nocookie.net/rickandmorty/images/3/38/PM-012.png/revision/latest/scale-to-width-down/150?cb=20160916014432"
"13","Test X1 Morty","https://vignette.wikia.nocookie.net/rickandmorty/images/2/20/PM-013.png/revision/latest/scale-to-width-down/150?cb=20160916015108"
"14","Test X46 Morty","https://vignette.wikia.nocookie.net/rickandmorty/images/2/20/PM-014.png/revision/latest/scale-to-width-down/150?cb=20160916015202"
"15","Test X72 Morty","https://vignette.wikia.nocookie.net/rickandmorty/images/6/6a/PM-015.png/revision/latest/scale-to-width-down/150?cb=20160916015244"
"16","Self Defense Morty","https://vignette.wikia.nocookie.net/rickandmorty/images/f/fe/PM-016.png/revision/latest/scale-to-width-down/150?cb=20160923015938"
"17","Karate Morty","https://vignette.wikia.nocookie.net/rickandmorty/images/1/13/PM-017.png/revision/latest/scale-to-width-down/150?cb=20160923020025"
"18","No Mercy Morty","https://vignette.wikia.nocookie.net/rickandmorty/images/9/96/PM-018.png/revision/latest/scale-to-width-down/150?cb=20160923020107"
"19","Mustache Morty","https://vignette.wikia.nocookie.net/rickandmorty/images/a/a3/PM-019.png/revision/latest/scale-to-width-down/150?cb=20160923020214"
